"id","date","dayCounter","rses_1","rses_2","rses_3","rses_4","socSit","socInt","excl","rses_totalMean","rses_1sd","rses_2sd","rses_3sd","rses_4sd","socSitSd","socIntSd","exclSd","rses_totalSd","compliance"
"AD06VL",2023-10-21,1,6.42857142857143,6.28571428571429,1,1,80,78,6.71428571428571,3.67857142857143,0.534522483824849,0.487950036474267,0,0,25,26.134268690744,0.487950036474267,0.237797432802835,1
"AD06VL",2023-10-22,2,7,7,1,1,91.5714285714286,80,7,4,0,0,0,0,15.6189750288673,16.3401346383682,0,0,1
"AD06VL",2023-10-23,3,7,6.85714285714286,1,1,78.8571428571429,68,7,3.96428571428571,0,0.377964473009227,0,0,22.6305735045062,17.0489491367259,0,0.0944911182523068,1
"AD06VL",2023-10-24,4,7,7,1,1,89.6666666666667,73.3333333333333,7,4,0,0,0,0,16.9784176726415,16.2193300313751,0,0,0.857142857142857
"AD06VL",2023-10-25,5,7,7,1,1,88.2857142857143,69.4285714285714,7,4,0,0,0,0,14.522560445898,23.006210341682,0,0,1
"AD06VL",2023-10-26,6,7,7,1,1,61.6666666666667,49.1666666666667,7,4,0,0,0,0,39.8931907305829,21.4235073381243,0,0,0.857142857142857
"AD06VL",2023-10-27,7,6.85714285714286,6.42857142857143,1.28571428571429,1.14285714285714,74.2857142857143,73,7,3.92857142857143,0.377964473009227,1.13389341902768,0.755928946018454,0.377964473009227,34.8267822502275,25.0998007960223,0,0.121987509118567,1
"AD06VL",2023-10-28,8,7,7,1,1,100,97.1428571428571,7,4,0,0,0,0,0,7.55928946018454,0,0,1
"AD06VL",2023-10-29,9,7,7,1,1,100,100,7,4,0,0,0,0,0,0,0,0,1
"AD06VL",2023-10-30,10,7,7,1,1,89.4285714285714,91.4285714285714,7,4,0,0,0,0,19.3378484054556,14.8195495079657,0,0,1
"AD06VL",2023-10-31,11,6.83333333333333,7,1,1.16666666666667,100,96,7,4,0.408248290463863,0,0,0.408248290463863,0,9.79795897113271,0,0,0.857142857142857
"AD06VL",2023-11-01,12,7,7,1,1.14285714285714,100,92.8571428571429,7,4.03571428571429,0,0,0,0.377964473009227,0,18.8982236504614,0,0.0944911182523068,1
"AD06VL",2023-11-02,13,7,7,1,1,55.7142857142857,57.7142857142857,7,4,0,0,0,0,43.915503282684,33.0389380666423,0,0,1
"AD06VL",2023-11-03,14,7,7,1,1,100,89.1666666666667,7,4,0,0,0,0,0,12.0069424362186,0,0,0.857142857142857
